x(mm),film_Dose_X(Gy/MU)
18.5,0.00152
18.6,0.0015
18.7,0.00146
18.8,0.00141
18.9,0.00135
19,0.00135
19.1,0.00137
19.2,0.00133
19.3,0.00129
19.4,0.00123
19.5,0.00122
19.6,0.00126
19.7,0.00124
19.8,0.00122
19.9,0.00117
20,0.00113
20.1,0.00111
20.2,0.00108
20.3,0.00106
20.4,0.00107
20.5,0.00104
20.6,9.85E-04
20.7,9.96E-04
20.8,0.00101
20.9,9.56E-04
21,9.01E-04
21.1,9.11E-04
21.2,8.99E-04
21.3,8.40E-04
21.4,8.20E-04
21.5,8.26E-04
21.6,7.74E-04
21.7,7.13E-04
21.8,7.14E-04
21.9,7.12E-04
22,7.30E-04
22.1,7.07E-04
22.2,6.39E-04
22.3,6.85E-04
22.4,6.94E-04
22.5,6.37E-04
22.6,5.99E-04
22.7,5.83E-04
22.8,5.88E-04
22.9,5.74E-04
23,5.68E-04
23.1,5.83E-04
23.2,5.56E-04
23.3,5.30E-04
23.4,5.23E-04
23.5,4.99E-04
23.6,4.84E-04
23.7,4.63E-04
23.8,4.56E-04
23.9,4.58E-04
24,4.19E-04
24.1,3.84E-04
24.2,4.01E-04
24.3,4.21E-04
24.4,4.24E-04
24.5,3.93E-04
24.6,3.82E-04
24.7,4.07E-04
24.8,3.82E-04
24.9,3.18E-04
25,3.05E-04
25.1,3.32E-04
25.2,3.34E-04
25.3,3.10E-04
25.4,2.71E-04
25.5,2.53E-04
25.6,2.98E-04
25.7,3.38E-04
25.8,3.17E-04
25.9,2.65E-04
26,2.22E-04
26.1,2.23E-04
26.2,2.45E-04
26.3,2.41E-04
26.4,2.33E-04
26.5,2.33E-04
26.6,2.26E-04
26.7,2.10E-04
26.8,1.84E-04
26.9,1.97E-04
27,2.20E-04
27.1,2.17E-04
27.2,1.78E-04
27.3,1.77E-04
27.4,1.90E-04
27.5,1.67E-04
27.6,2.02E-04
27.7,2.53E-04
27.8,2.14E-04
27.9,1.52E-04
28,1.39E-04
28.1,1.54E-04
28.2,1.67E-04
28.3,1.46E-04
28.4,1.27E-04
28.5,1.24E-04
28.6,1.35E-04
28.7,1.25E-04
28.8,9.52E-05
28.9,8.33E-05
29,1.02E-04
29.1,1.08E-04
29.2,9.73E-05
29.3,9.43E-05
29.4,8.83E-05
29.5,9.72E-05
29.6,9.81E-05
29.7,8.22E-05
29.8,9.86E-05
29.9,1.16E-04
30,9.57E-05
30.1,7.06E-05
30.2,5.29E-05
30.3,6.75E-05
30.4,7.55E-05
30.5,7.01E-05
30.6,7.81E-05
30.7,6.28E-05
30.8,6.19E-05
30.9,5.88E-05
31,4.94E-05
31.1,5.47E-05
31.2,6.60E-05
31.3,9.16E-05
31.4,7.20E-05
31.5,4.35E-05
31.6,4.97E-05
31.7,4.74E-05
31.8,2.46E-05
31.9,1.03E-05
32,1.26E-05
32.1,1.34E-05
32.2,3.43E-05
32.3,6.29E-05
32.4,6.15E-05
32.5,4.66E-05
32.6,3.97E-05
32.7,2.77E-05
32.8,1.35E-05
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,5.02E-05
33.6,2.55E-05
33.7,8.80E-06
33.8,0
33.9,0
34,4.90E-06
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,2.16E-05
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,1.88E-05
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
45.1,0
45.2,0
45.3,0
45.4,0
45.5,0
45.6,0
45.7,0
45.8,0
45.9,0
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
